; CSV, generated by libsigrok4DSL 0.2.0 on Wed Apr 17 14:33:03 2019
; Channels (3/16)
; Sample rate: 1 MHz
; Sample count: 9.562816M Samples
Time(s), 0: RX, 1: TX, 2: DE
1.107602,1,1,0
1.107706,0,1,0
1.108643,1,1,0
1.108747,0,1,0
1.109683,1,1,0
1.109787,0,1,0
1.110723,1,1,0
1.110827,0,1,0
1.110931,1,1,0
1.111035,0,1,0
1.111243,1,1,0
1.111347,0,1,0
1.111451,1,1,0
1.111555,0,1,0
1.111763,1,1,0
1.111867,0,1,0
1.111971,1,1,0
1.112179,0,1,0
1.112283,1,1,0
1.112387,0,1,0
1.112803,1,1,0
1.112907,0,1,0
1.113011,1,1,0
1.113219,0,1,0
1.113844,1,1,0
1.113948,0,1,0
1.114052,1,1,0
1.11426,0,1,0
1.114364,1,1,0
1.114468,0,1,0
1.114572,1,1,0
1.114676,0,1,0
1.11478,1,1,0
1.114989,0,1,0
1.115002,1,1,0
1.565183,0,1,0
1.565287,1,1,0
1.566223,0,1,0
1.567159,1,1,0
1.567263,0,1,0
1.567367,1,1,0
1.568303,0,1,0
1.568407,1,1,0
1.568511,0,1,0
1.568615,1,1,0
1.568719,0,1,0
1.568927,1,1,0
1.569031,0,1,0
1.569135,1,1,0
1.569343,0,1,0
1.570279,1,1,0
1.570383,0,1,0
1.570904,1,1,0
1.571008,0,1,0
1.571216,1,1,0
1.571424,0,1,0
1.571944,1,1,0
1.572048,0,1,0
1.57236,1,1,0
1.572464,0,1,0
1.572672,1,1,0
1.572776,0,1,0
1.572984,1,1,0
1.573088,0,1,0
1.573192,1,1,0
1.573504,0,1,0
1.573608,1,1,0
1.573712,0,1,0
1.57444,1,1,0
1.574544,0,1,0
1.574752,1,1,0
1.574856,0,1,0
1.575064,1,1,0
1.575168,0,1,0
1.575272,1,1,0
1.575584,0,1,0
1.575792,1,1,0
1.575896,0,1,0
1.576521,1,1,0
1.576625,0,1,0
1.576833,1,1,0
1.576937,0,1,0
1.577041,1,1,0
1.577145,0,1,0
1.577249,1,1,0
1.577666,0,1,0
1.577678,1,1,0
1.884937,0,1,0
1.885041,1,1,0
1.885977,0,1,0
1.886914,1,1,0
1.887018,0,1,0
1.887122,1,1,0
1.888058,0,1,0
1.888162,1,1,0
1.888266,0,1,0
1.88837,1,1,0
1.888474,0,1,0
1.888682,1,1,0
1.888786,0,1,0
1.88889,1,1,0
1.889098,0,1,0
1.890034,1,1,0
1.890138,0,1,0
1.890762,1,1,0
1.89097,0,1,0
1.891074,1,1,0
1.891178,0,1,0
1.891699,1,1,0
1.891803,0,1,0
1.892115,1,1,0
1.892219,0,1,0
1.892531,1,1,0
1.892635,0,1,0
1.893155,1,1,0
1.893259,0,1,0
1.893363,1,1,0
1.893467,0,1,0
1.894195,1,1,0
1.894299,0,1,0
1.894403,1,1,0
1.895339,0,1,0
1.895547,1,1,0
1.895651,0,1,0
1.896275,1,1,0
1.896379,0,1,0
1.896483,1,1,0
1.896587,0,1,0
1.896795,1,1,0
1.897003,0,1,0
1.897316,1,1,0
1.89742,0,1,0
1.897433,1,1,0
1.906834,0,1,0
1.906934,1,1,0
1.90787,0,1,0
1.908806,1,1,0
1.908909,0,1,0
1.909014,1,1,0
