ID,Time[s],1:UART: RX/TX
508,1.94698,FF
509,1.94781,Stop bit
510,1.94791,Start bit
511,1.94802,00
512,1.94885,Stop bit
513,1.94895,Start bit
514,1.94906,FF
515,1.94989,Stop bit
516,1.94999,Start bit
517,1.9501,A5
518,1.95093,Stop bit
519,1.95103,Start bit
520,1.95114,00
521,1.95197,Stop bit
522,1.95207,Start bit
523,1.95218,10
524,1.95301,Stop bit
525,1.95311,Start bit
526,1.95322,60
527,1.95405,Stop bit
528,1.95415,Start bit
529,1.95426,06
530,1.95509,Stop bit
531,1.95519,Start bit
532,1.9553,01
533,1.95613,Stop bit
534,1.95623,Start bit
535,1.95634,0A
536,1.95717,Stop bit
537,1.95727,Start bit
538,1.95738,01
539,1.95821,Stop bit
540,1.95831,Start bit
541,1.95842,26
542,1.95925,Stop bit
543,1.96254,Start bit
544,1.96264,FF
545,1.96347,Stop bit
546,1.96358,Start bit
547,1.96368,00
548,1.96451,Stop bit
549,1.96462,Start bit
550,1.96472,FF
551,1.96555,Stop bit
552,1.96566,Start bit
553,1.96576,A5
554,1.96659,Stop bit
555,1.9667,Start bit
556,1.9668,00
557,1.96763,Stop bit
558,1.96774,Start bit
559,1.96784,60
560,1.96867,Stop bit
561,1.96878,Start bit
562,1.96888,10
563,1.96971,Stop bit
564,1.96982,Start bit
565,1.96992,01
566,1.97075,Stop bit
567,1.97086,Start bit
568,1.97096,04
569,1.97179,Stop bit
570,1.9719,Start bit
571,1.972,02
572,1.97283,Stop bit
573,1.97294,Start bit
574,1.97304,C4
575,1.97387,Stop bit
576,1.97398,Start bit
577,1.97408,08
578,1.97491,Stop bit
579,1.97502,Start bit
580,1.97512,CA
581,1.97595,Stop bit
582,1.97606,Start bit
583,1.97616,02
584,1.97699,Stop bit
585,1.9771,Start bit
586,1.9772,B2
587,1.97803,Stop bit
588,1.97814,Start bit
589,1.97824,FF
590,1.97908,Stop bit
591,1.98806,Start bit
592,1.98817,FF
593,1.989,Stop bit
594,1.9891,Start bit
595,1.9892,00
596,1.99004,Stop bit
597,1.99014,Start bit
598,1.99024,FF
599,1.99108,Stop bit
600,1.99118,Start bit
601,1.99128,A5
602,1.99212,Stop bit
603,1.99222,Start bit
604,1.99232,00
605,1.99316,Stop bit
606,1.99326,Start bit
607,1.99336,10
608,1.9942,Stop bit
609,1.9943,Start bit
610,1.9944,60
611,1.99524,Stop bit
612,1.99534,Start bit
613,1.99544,01
614,1.99628,Stop bit
615,1.99638,Start bit
616,1.99648,02
617,1.99732,Stop bit
618,1.99742,Start bit
619,1.99752,08
620,1.99836,Stop bit
621,1.99846,Start bit
622,1.99856,CA
623,1.9994,Stop bit
624,1.9995,Start bit
625,1.9996,01
626,2.00044,Stop bit
627,2.00054,Start bit
628,2.00064,EA
629,2.00148,Stop bit
630,3.58908,Start bit
631,3.58919,FF
632,3.59002,Stop bit
633,3.59012,Start bit
634,3.59023,00
635,3.59106,Stop bit
636,3.59116,Start bit
637,3.59127,FF
638,3.5921,Stop bit
639,3.5922,Start bit
640,3.59231,A5
641,3.59314,Stop bit
642,3.59324,Start bit
643,3.59335,00
644,3.59418,Stop bit
645,3.59428,Start bit
646,3.59439,90
647,3.59522,Stop bit
648,3.59532,Start bit
649,3.59543,10
650,3.59626,Stop bit
651,3.59636,Start bit
652,3.59647,D2
653,3.5973,Stop bit
654,3.5974,Start bit
655,3.59751,01
656,3.59834,Stop bit
657,3.59844,Start bit
658,3.59855,D2
659,3.59938,Stop bit
660,3.59948,Start bit
661,3.59959,02
662,3.60042,Stop bit
663,3.60052,Start bit
664,3.60063,EA
665,3.60146,Stop bit
666,3.60157,Start bit
667,3.60167,FF
668,3.6025,Stop bit
669,3.91705,Start bit
670,3.91716,FF
671,3.91799,Stop bit
672,3.91809,Start bit
673,3.9182,00
674,3.91903,Stop bit
675,3.91913,Start bit
676,3.91924,FF
677,3.92007,Stop bit
678,3.92017,Start bit
679,3.92028,A5
680,3.92111,Stop bit
