ID,Time[s],1:UART: RX/TX
388,4.60001,[FF]
389,4.60084,Stop bit
390,4.60094,Start bit
391,4.60105,[00]
392,4.60188,Stop bit
393,4.60198,Start bit
394,4.60209,[FF]
395,4.60292,Stop bit
396,4.60302,Start bit
397,4.60313,[A5]
398,4.60396,Stop bit
399,4.60406,Start bit
400,4.60417,[01]
401,4.605,Stop bit
402,4.6051,Start bit
403,4.60521,[0F]
404,4.60604,Stop bit
405,4.60614,Start bit
406,4.60625,[10]
407,4.60708,Stop bit
408,4.60718,Start bit
409,4.60729,[02]
410,4.60812,Stop bit
411,4.60823,Start bit
412,4.60833,[1D]
413,4.60916,Stop bit
414,4.60926,Start bit
415,4.60937,[0D]
416,4.6102,Stop bit
417,4.6103,Start bit
418,4.61041,)
419,4.61124,Stop bit
420,4.61135,Start bit
421,4.61145,[00]
422,4.61228,Stop bit
423,4.61238,Start bit
424,4.61249,[00]
425,4.61332,Stop bit
426,4.61343,Start bit
427,4.61353,[00]
428,4.61436,Stop bit
429,4.61447,Start bit
430,4.61457,[00]
431,4.6154,Stop bit
432,4.61551,Start bit
433,4.61561,[00]
434,4.61644,Stop bit
435,4.61655,Start bit
436,4.61665,[00]
437,4.61748,Stop bit
438,4.61759,Start bit
439,4.61769,[00]
440,4.61852,Stop bit
441,4.61863,Start bit
442,4.61873,[00]
443,4.61956,Stop bit
444,4.61967,Start bit
445,4.61977,[00]
446,4.6206,Stop bit
447,4.62071,Start bit
448,4.62081,[00]
449,4.62164,Stop bit
450,4.62175,Start bit
451,4.62185,[00]
452,4.62268,Stop bit
453,4.62279,Start bit
454,4.62289,[01]
455,4.62372,Stop bit
456,4.62383,Start bit
457,4.62393,A
458,4.62477,Stop bit
459,4.62487,Start bit
460,4.62497,A
461,4.6258,Stop bit
462,4.62591,Start bit
463,4.62601,[02]
464,4.62684,Stop bit
465,4.62695,Start bit
466,4.62705,P
467,4.62789,Stop bit
468,4.62799,Start bit
469,4.62809,D
470,4.62892,Stop bit
471,4.62903,Start bit
472,4.62913,[FF]
473,4.62996,Stop bit
474,4.63007,Start bit
475,4.63017,[02]
476,4.63101,Stop bit
477,4.63111,Start bit
478,4.63121,(
479,4.63205,Stop bit
480,4.63215,Start bit
481,4.63225,[04]
482,4.63309,Stop bit
483,4.63319,Start bit
484,4.63329,[00]
485,4.63413,Stop bit
486,4.63423,Start bit
487,4.63433,[00]
488,4.63517,Stop bit
489,4.63527,Start bit
490,4.63537,[00]
491,4.63621,Stop bit
492,4.63631,Start bit
493,4.63641,[00]
494,4.63725,Stop bit
495,4.63735,Start bit
496,4.63745,)
497,4.63829,Stop bit
498,4.63839,Start bit
499,4.63849,[0B]
500,4.63933,Stop bit
501,4.63943,Start bit
502,4.63953,[03]
503,4.64037,Stop bit
504,4.64047,Start bit
505,4.64058,[94]
506,4.64141,Stop bit
507,4.64151,Start bit
508,4.64162,[FF]
509,4.64245,Stop bit
510,5.1045,Start bit
511,5.1046,[FF]
512,5.10544,Stop bit
513,5.10554,Start bit
514,5.10564,[00]
515,5.10648,Stop bit
516,5.10658,Start bit
517,5.10668,[FF]
518,5.10752,Stop bit
519,5.10762,Start bit
520,5.10772,[A5]
521,5.10856,Stop bit
522,5.10866,Start bit
523,5.10877,[00]
524,5.1096,Stop bit
525,5.1097,Start bit
526,5.1098,[90]
527,5.11064,Stop bit
528,5.11074,Start bit
529,5.11084,[10]
530,5.11168,Stop bit
531,5.11178,Start bit
532,5.11189,[D2]
533,5.11272,Stop bit
534,5.11282,Start bit
535,5.11292,[01]
536,5.11376,Stop bit
537,5.11386,Start bit
538,5.11397,[D2]
539,5.1148,Stop bit
540,5.1149,Start bit
541,5.11501,[02]
542,5.11584,Stop bit
543,5.11594,Start bit
544,5.11605,[EA]
545,5.11688,Stop bit
546,5.11698,Start bit
547,5.11709,[FF]
548,5.11792,Stop bit
549,6.60841,Start bit
550,6.60851,[FF]
551,6.60934,Stop bit
552,6.60945,Start bit
553,6.60955,[FF]
554,6.61038,Stop bit
555,6.61049,Start bit
556,6.61059,[FF]
557,6.61142,Stop bit
558,6.61153,Start bit
559,6.61163,[FF]
560,6.61247,Stop bit
561,6.61257,Start bit
562,6.61267,[FF]
563,6.61351,Stop bit
564,6.61361,Start bit
565,6.61371,[FF]
566,6.61455,Stop bit
567,6.61465,Start bit
568,6.61475,[FF]
569,6.61559,Stop bit
570,6.61569,Start bit
571,6.61579,[FF]
572,6.61663,Stop bit
573,6.61673,Start bit
574,6.61683,[00]
575,6.61767,Stop bit
576,6.61777,Start bit
577,6.61787,[FF]
578,6.61871,Stop bit
579,6.61881,Start bit
580,6.61891,[A5]
581,6.61975,Stop bit
582,6.61985,Start bit
583,6.61995,[01]
584,6.62079,Stop bit
585,6.62089,Start bit
586,6.62099,[0F]
587,6.62183,Stop bit
588,6.62193,Start bit
589,6.62203,[10]
590,6.62287,Stop bit
591,6.62297,Start bit
592,6.62308,[02]
593,6.62391,Stop bit
594,6.62401,Start bit
595,6.62411,[1D]
596,6.62495,Stop bit
597,6.62505,Start bit
598,6.62515,[0D]
599,6.62599,Stop bit
600,6.62609,Start bit
601,6.6262,)
602,6.62703,Stop bit
603,6.62713,Start bit
604,6.62724,[00]
605,6.62807,Stop bit
606,6.62817,Start bit
607,6.62828,[00]
608,6.62911,Stop bit
609,6.62921,Start bit
610,6.62932,[00]
611,6.63015,Stop bit
612,6.63025,Start bit
613,6.63036,[00]
614,6.63119,Stop bit
615,6.63129,Start bit
616,6.6314,[00]
617,6.63223,Stop bit
618,6.63233,Start bit
619,6.63244,[00]
620,6.63327,Stop bit
621,6.63337,Start bit
622,6.63348,[00]
623,6.63431,Stop bit
624,6.63441,Start bit
625,6.63452,[00]
626,6.63535,Stop bit
627,6.63545,Start bit
628,6.63556,[00]
629,6.63639,Stop bit
630,6.63649,Start bit
631,6.6366,[00]
632,6.63743,Stop bit
633,6.63753,Start bit
634,6.63764,[00]
635,6.63847,Stop bit
636,6.63857,Start bit
637,6.63868,[01]
638,6.63951,Stop bit
639,6.63961,Start bit
640,6.63972,A
641,6.64055,Stop bit
642,6.64065,Start bit
643,6.64076,A
644,6.64159,Stop bit
645,6.64169,Start bit
646,6.6418,[02]
647,6.64263,Stop bit
648,6.64273,Start bit
649,6.64284,P
650,6.64367,Stop bit
651,6.64377,Start bit
652,6.64388,D
653,6.64471,Stop bit
654,6.64481,Start bit
655,6.64492,[FF]
656,6.64575,Stop bit
657,6.64586,Start bit
658,6.64596,[02]
659,6.64679,Stop bit
660,6.64689,Start bit
661,6.647,(
662,6.64783,Stop bit
663,6.64793,Start bit
664,6.64804,[04]
665,6.64887,Stop bit
666,6.64898,Start bit
667,6.64908,[00]
668,6.64991,Stop bit
669,6.65002,Start bit
670,6.65012,[00]
671,6.65095,Stop bit
672,6.65106,Start bit
673,6.65116,[00]
674,6.65199,Stop bit
675,6.6521,Start bit
676,6.6522,[00]
677,6.65303,Stop bit
678,6.65314,Start bit
679,6.65324,)
680,6.65407,Stop bit
681,6.65418,Start bit
682,6.65428,[0B]
683,6.65511,Stop bit
684,6.65522,Start bit
685,6.65532,[03]
686,6.65615,Stop bit
687,6.65626,Start bit
688,6.65636,[94]
689,6.65719,Stop bit
690,6.6573,Start bit
691,6.6574,[FF]
692,6.65823,Stop bit
693,7.11176,Start bit
694,7.11186,[FF]
695,7.11269,Stop bit
696,7.1128,Start bit
697,7.1129,[00]
698,7.11373,Stop bit
699,7.11384,Start bit
700,7.11394,[FF]
701,7.11477,Stop bit
702,7.11488,Start bit
703,7.11498,[A5]
704,7.11581,Stop bit
705,7.11592,Start bit
706,7.11602,[00]
707,7.11685,Stop bit
708,7.11696,Start bit
709,7.11706,[90]
710,7.11789,Stop bit
711,7.118,Start bit
712,7.1181,[10]
713,7.11893,Stop bit
714,7.11904,Start bit
715,7.11914,[D2]
716,7.11997,Stop bit
717,7.12008,Start bit
718,7.12018,[01]
719,7.12101,Stop bit
720,7.12112,Start bit
721,7.12122,[D2]
722,7.12205,Stop bit
723,7.12216,Start bit
724,7.12226,[02]
725,7.12309,Stop bit
726,7.1232,Start bit
727,7.1233,[EA]
728,7.12414,Stop bit
729,7.12424,Start bit
730,7.12434,[FF]
731,7.12518,Stop bit
732,9.13555,Start bit
733,9.13566,[FF]
734,9.13649,Stop bit
735,9.13659,Start bit
736,9.1367,[00]
737,9.13753,Stop bit
738,9.13763,Start bit
739,9.13774,[FF]
740,9.13857,Stop bit
741,9.13867,Start bit
742,9.13878,[A5]
743,9.13961,Stop bit
744,9.13971,Start bit
745,9.13982,[00]
746,9.14065,Stop bit
747,9.14075,Start bit
748,9.14086,[90]
749,9.14169,Stop bit
750,9.14179,Start bit
751,9.1419,[10]
752,9.14273,Stop bit
753,9.14283,Start bit
754,9.14294,[D2]
755,9.14377,Stop bit
756,9.14387,Start bit
757,9.14398,[01]
758,9.14481,Stop bit
